,Z,Period,Group,EN,CR,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,PW,CD,Cs,Cation_H,Cation_K,Cation_Li,Cation_Na,Anion_OH,Anion_SO4
0,23,4,5,1.63,1.44,0,0,1,0,5.5,6.0,0.5,1.0,152.0,False,True,False,False,True,False
1,23,4,5,1.63,1.44,0,0,1,0,5.5,6.0,0.5,2.0,145.0,False,True,False,False,True,False
2,23,4,5,1.63,1.44,0,0,1,0,5.5,6.0,0.5,5.0,136.0,False,True,False,False,True,False
3,23,4,5,1.63,1.44,0,0,1,0,5.5,6.0,0.5,10.0,120.0,False,True,False,False,True,False
4,23,4,5,1.63,1.44,0,0,1,0,5.5,6.0,0.5,15.0,90.0,False,True,False,False,True,False
5,23,4,5,1.63,1.44,0,0,3,0,15.59,2.0,0.55,0.2,320.7,False,True,False,False,True,False
6,23,4,5,1.63,1.44,0,0,3,0,15.59,2.0,0.55,0.5,289.9,False,True,False,False,True,False
7,23,4,5,1.63,1.44,0,0,3,0,15.59,2.0,0.55,1.0,269.7,False,True,False,False,True,False
8,23,4,5,1.63,1.44,0,0,3,0,15.59,2.0,0.55,2.0,238.4,False,True,False,False,True,False
9,23,4,5,1.63,1.44,0,0,3,0,15.59,2.0,0.55,4.0,198.7,False,True,False,False,True,False
10,23,4,5,1.63,1.44,0,0,3,0,15.59,2.0,0.55,10.0,155.8,False,True,False,False,True,False
11,23,4,5,1.63,1.44,3,3,3,2,69.72,2.0,0.55,0.2,836.7,False,True,False,False,True,False
12,23,4,5,1.63,1.44,3,3,3,2,69.72,2.0,0.55,0.5,789.8,False,True,False,False,True,False
13,23,4,5,1.63,1.44,3,3,3,2,69.72,2.0,0.55,1.0,702.2,False,True,False,False,True,False
14,23,4,5,1.63,1.44,3,3,3,2,69.72,2.0,0.55,2.0,616.5,False,True,False,False,True,False
15,23,4,5,1.63,1.44,3,3,3,2,69.72,2.0,0.55,4.0,468.9,False,True,False,False,True,False
16,23,4,5,1.63,1.44,3,3,3,2,69.72,2.0,0.55,10.0,407.3,False,True,False,False,True,False
17,23,4,5,1.63,1.44,2,4,3,1,32.3,2.0,0.5,1.0,211.0,False,True,False,False,True,False
18,23,4,5,1.63,1.44,2,4,3,1,32.3,2.0,0.5,2.0,202.56,False,True,False,False,True,False
19,23,4,5,1.63,1.44,2,4,3,1,32.3,2.0,0.5,10.0,170.91,False,True,False,False,True,False
20,23,4,5,1.63,1.44,2,4,3,1,32.3,2.0,0.5,20.0,135.04,False,True,False,False,True,False
21,26,4,8,1.83,1.24,0,0,3,0,4.04,6.0,0.55,0.5,163.0,False,True,False,False,True,False
22,26,4,8,1.83,1.24,0,0,3,0,4.04,6.0,0.55,1.0,92.0,False,True,False,False,True,False
23,26,4,8,1.83,1.24,0,0,3,0,4.04,6.0,0.55,2.0,82.0,False,True,False,False,True,False
24,26,4,8,1.83,1.24,0,0,3,0,4.04,6.0,0.55,3.0,78.0,False,True,False,False,True,False
25,26,4,8,1.83,1.24,0,0,3,0,4.04,6.0,0.55,5.0,75.0,False,True,False,False,True,False
26,26,4,8,1.83,1.24,0,0,3,0,4.04,6.0,0.55,10.0,74.0,False,True,False,False,True,False
27,26,4,8,1.83,1.24,2,2,2,1,8.39,6.0,0.55,0.5,312.0,False,True,False,False,True,False
28,26,4,8,1.83,1.24,2,2,2,1,8.39,6.0,0.55,1.0,288.0,False,True,False,False,True,False
29,26,4,8,1.83,1.24,2,2,2,1,8.39,6.0,0.55,2.0,268.0,False,True,False,False,True,False
30,26,4,8,1.83,1.24,2,2,2,1,8.39,6.0,0.55,3.0,216.0,False,True,False,False,True,False
31,26,4,8,1.83,1.24,2,2,2,1,8.39,6.0,0.55,5.0,200.0,False,True,False,False,True,False
32,26,4,8,1.83,1.24,2,2,2,1,8.39,6.0,0.55,10.0,172.0,False,True,False,False,True,False
33,26,4,8,1.83,1.24,2,2,3,1,218.4,6.0,0.6,1.0,529.0,False,True,False,False,True,False
34,26,4,8,1.83,1.24,2,2,3,1,218.4,6.0,0.6,2.0,481.0,False,True,False,False,True,False
35,26,4,8,1.83,1.24,2,2,3,1,218.4,6.0,0.6,5.0,443.0,False,True,False,False,True,False
36,26,4,8,1.83,1.24,2,2,3,1,218.4,6.0,0.6,10.0,401.0,False,True,False,False,True,False
37,26,4,8,1.83,1.24,2,2,3,1,218.4,6.0,0.6,20.0,349.0,False,True,False,False,True,False
38,42,5,6,2.16,1.46,0,0,2,0,24.0,6.0,1.0,1.0,216.0,False,True,False,False,True,False
39,42,5,6,2.16,1.46,0,0,2,0,24.0,6.0,1.0,2.0,160.0,False,True,False,False,True,False
40,42,5,6,2.16,1.46,0,0,2,0,24.0,6.0,1.0,3.0,140.0,False,True,False,False,True,False
41,42,5,6,2.16,1.46,0,0,2,0,24.0,6.0,1.0,4.0,121.0,False,True,False,False,True,False
42,42,5,6,2.16,1.46,0,0,2,0,24.0,6.0,1.0,5.0,109.0,False,True,False,False,True,False
43,42,5,6,2.16,1.46,0,0,2,0,24.0,6.0,1.0,7.0,86.0,False,True,False,False,True,False
44,26,4,8,1.83,1.24,0,0,3,0,23.8,2.0,1.1,1.0,471.0,False,True,False,False,True,False
45,26,4,8,1.83,1.24,0,0,3,0,23.8,2.0,1.1,2.0,398.0,False,True,False,False,True,False
46,26,4,8,1.83,1.24,0,0,3,0,23.8,2.0,1.1,3.0,369.0,False,True,False,False,True,False
47,26,4,8,1.83,1.24,0,0,3,0,23.8,2.0,1.1,5.0,356.0,False,True,False,False,True,False
48,26,4,8,1.83,1.24,0,0,3,0,23.8,2.0,1.1,10.0,335.0,False,True,False,False,True,False
49,26,4,8,1.83,1.24,0,0,3,0,23.8,2.0,1.1,15.0,321.0,False,True,False,False,True,False
50,26,4,8,1.83,1.24,0,0,3,0,23.8,2.0,1.1,20.0,307.0,False,True,False,False,True,False
51,26,4,8,1.83,1.24,3,3,3,2,17.37,1.0,1.0,2.0,228.0,False,True,False,False,True,False
52,26,4,8,1.83,1.24,3,3,3,2,17.37,1.0,1.0,4.0,170.0,False,True,False,False,True,False
53,26,4,8,1.83,1.24,3,3,3,2,17.37,1.0,1.0,6.0,140.0,False,True,False,False,True,False
54,26,4,8,1.83,1.24,3,3,3,2,17.37,1.0,1.0,8.0,119.0,False,True,False,False,True,False
55,26,4,8,1.83,1.24,3,3,3,2,17.37,1.0,1.0,10.0,91.0,False,True,False,False,True,False
56,26,4,8,1.83,1.24,3,3,3,2,27.36,1.0,1.0,2.0,303.0,False,True,False,False,True,False
57,26,4,8,1.83,1.24,3,3,3,2,27.36,1.0,1.0,4.0,235.0,False,True,False,False,True,False
58,26,4,8,1.83,1.24,3,3,3,2,27.36,1.0,1.0,6.0,210.0,False,True,False,False,True,False
59,26,4,8,1.83,1.24,3,3,3,2,27.36,1.0,1.0,8.0,192.0,False,True,False,False,True,False
60,26,4,8,1.83,1.24,3,3,3,2,27.36,1.0,1.0,10.0,176.0,False,True,False,False,True,False
61,26,4,8,1.83,1.24,3,3,3,2,11.0,1.0,1.0,2.0,105.0,False,True,False,False,True,False
62,26,4,8,1.83,1.24,3,3,3,2,11.0,1.0,1.0,4.0,84.0,False,True,False,False,True,False
63,26,4,8,1.83,1.24,3,3,3,2,11.0,1.0,1.0,6.0,74.0,False,True,False,False,True,False
64,26,4,8,1.83,1.24,3,3,3,2,11.0,1.0,1.0,8.0,63.0,False,True,False,False,True,False
65,26,4,8,1.83,1.24,3,3,3,2,11.0,1.0,1.0,10.0,60.0,False,True,False,False,True,False
66,26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,1.1,3.0,459.0,False,True,False,False,True,False
67,26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,1.1,5.0,372.0,False,True,False,False,True,False
68,26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,1.1,10.0,309.0,False,True,False,False,True,False
69,26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,1.1,15.0,299.0,False,True,False,False,True,False
70,26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,1.1,20.0,289.0,False,True,False,False,True,False
71,26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,1.1,30.0,269.0,False,True,False,False,True,False
72,26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,1.1,3.0,721.0,False,True,False,False,True,False
73,26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,1.1,5.0,650.0,False,True,False,False,True,False
74,26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,1.1,10.0,621.0,False,True,False,False,True,False
75,26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,1.1,15.0,617.0,False,True,False,False,True,False
76,26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,1.1,20.0,614.0,False,True,False,False,True,False
77,26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,1.1,30.0,589.0,False,True,False,False,True,False
78,26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,1.1,3.0,769.0,False,True,False,False,True,False
79,26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,1.1,5.0,708.0,False,True,False,False,True,False
80,26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,1.1,10.0,637.0,False,True,False,False,True,False
81,26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,1.1,15.0,587.0,False,True,False,False,True,False
82,26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,1.1,20.0,570.0,False,True,False,False,True,False
83,26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,1.1,30.0,555.0,False,True,False,False,True,False
84,27,4,9,1.88,1.18,0,0,5,0,127.6,2.0,0.5,1.0,1301.0,False,True,False,False,True,False
85,27,4,9,1.88,1.18,0,0,5,0,127.6,2.0,0.5,2.5,1073.0,False,True,False,False,True,False
86,27,4,9,1.88,1.18,0,0,5,0,127.6,2.0,0.5,5.0,883.0,False,True,False,False,True,False
87,27,4,9,1.88,1.18,0,0,5,0,127.6,2.0,0.5,10.0,650.0,False,True,False,False,True,False
88,27,4,9,1.88,1.18,0,0,5,0,127.6,2.0,0.5,20.0,450.0,False,True,False,False,True,False
89,27,4,9,1.88,1.18,0,0,5,0,98.3,2.0,0.5,1.0,1180.0,False,True,False,False,True,False
90,27,4,9,1.88,1.18,0,0,5,0,98.3,2.0,0.5,2.5,952.0,False,True,False,False,True,False
91,27,4,9,1.88,1.18,0,0,5,0,98.3,2.0,0.5,5.0,733.0,False,True,False,False,True,False
92,27,4,9,1.88,1.18,0,0,5,0,98.3,2.0,0.5,10.0,531.0,False,True,False,False,True,False
93,27,4,9,1.88,1.18,0,0,5,0,98.3,2.0,0.5,20.0,339.0,False,True,False,False,True,False
94,27,4,9,1.88,1.18,0,0,5,0,65.1,2.0,0.5,1.0,1079.0,False,True,False,False,True,False
95,27,4,9,1.88,1.18,0,0,5,0,65.1,2.0,0.5,2.5,883.0,False,True,False,False,True,False
96,27,4,9,1.88,1.18,0,0,5,0,65.1,2.0,0.5,5.0,681.0,False,True,False,False,True,False
97,27,4,9,1.88,1.18,0,0,5,0,65.1,2.0,0.5,10.0,471.0,False,True,False,False,True,False
98,27,4,9,1.88,1.18,0,0,5,0,65.1,2.0,0.5,20.0,271.0,False,True,False,False,True,False
99,27,4,9,1.88,1.18,0,0,4,0,41.5,2.0,0.5,1.0,899.0,False,True,False,False,True,False
100,27,4,9,1.88,1.18,0,0,4,0,41.5,2.0,0.5,2.5,733.0,False,True,False,False,True,False
101,27,4,9,1.88,1.18,0,0,4,0,41.5,2.0,0.5,5.0,583.0,False,True,False,False,True,False
102,27,4,9,1.88,1.18,0,0,4,0,41.5,2.0,0.5,10.0,388.0,False,True,False,False,True,False
103,27,4,9,1.88,1.18,0,0,4,0,41.5,2.0,0.5,20.0,221.0,False,True,False,False,True,False
104,27,4,9,1.88,1.18,0,0,0,0,3.2,2.0,0.5,1.0,624.0,False,True,False,False,True,False
105,27,4,9,1.88,1.18,0,0,0,0,3.2,2.0,0.5,2.5,495.0,False,True,False,False,True,False
106,27,4,9,1.88,1.18,0,0,0,0,3.2,2.0,0.5,5.0,345.0,False,True,False,False,True,False
107,27,4,9,1.88,1.18,0,0,0,0,3.2,2.0,0.5,10.0,212.0,False,True,False,False,True,False
108,27,4,9,1.88,1.18,0,0,0,0,3.2,2.0,0.5,20.0,93.0,False,True,False,False,True,False
109,27,4,9,1.88,1.18,0,0,4,0,17.46,2.0,0.6,1.0,236.5,False,True,False,False,True,False
110,27,4,9,1.88,1.18,0,0,4,0,17.46,2.0,0.6,2.0,225.3,False,True,False,False,True,False
111,27,4,9,1.88,1.18,0,0,4,0,17.46,2.0,0.6,5.0,203.3,False,True,False,False,True,False
112,27,4,9,1.88,1.18,0,0,4,0,17.46,2.0,0.6,10.0,175.0,False,True,False,False,True,False
113,27,4,9,1.88,1.18,0,0,4,0,17.46,2.0,0.6,15.0,152.5,False,True,False,False,True,False
114,27,4,9,1.88,1.18,0,0,3,0,21.0,2.0,0.4,2.0,624.1,False,True,False,False,True,False
115,27,4,9,1.88,1.18,2,2,3,3,93.0,2.0,0.4,2.0,929.0,False,True,False,False,True,False
116,27,4,9,1.88,1.18,2,2,3,3,93.0,2.0,0.4,4.0,855.0,False,True,False,False,True,False
117,27,4,9,1.88,1.18,2,2,3,3,93.0,2.0,0.4,8.0,798.0,False,True,False,False,True,False
118,27,4,9,1.88,1.18,2,2,3,3,93.0,2.0,0.4,14.0,713.0,False,True,False,False,True,False
119,27,4,9,1.88,1.18,2,2,3,3,93.0,2.0,0.4,20.0,677.0,False,True,False,False,True,False
120,27,4,9,1.88,1.18,0,0,2,0,66.416,2.0,0.6,1.0,718.7,False,True,False,False,True,False
121,27,4,9,1.88,1.18,0,0,2,0,66.416,2.0,0.6,2.0,696.7,False,True,False,False,True,False
122,27,4,9,1.88,1.18,0,0,2,0,66.416,2.0,0.6,5.0,620.8,False,True,False,False,True,False
123,27,4,9,1.88,1.18,0,0,2,0,66.416,2.0,0.6,10.0,536.7,False,True,False,False,True,False
124,27,4,9,1.88,1.18,0,0,2,0,66.416,2.0,0.6,20.0,476.7,False,True,False,False,True,False
125,27,4,9,1.88,1.18,0,0,2,0,46.204,2.0,0.6,1.0,554.0,False,True,False,False,True,False
126,27,4,9,1.88,1.18,0,0,2,0,46.204,2.0,0.6,2.0,540.0,False,True,False,False,True,False
127,27,4,9,1.88,1.18,0,0,2,0,46.204,2.0,0.6,5.0,497.0,False,True,False,False,True,False
128,27,4,9,1.88,1.18,0,0,2,0,46.204,2.0,0.6,10.0,469.0,False,True,False,False,True,False
129,27,4,9,1.88,1.18,0,0,2,0,46.204,2.0,0.6,20.0,417.0,False,True,False,False,True,False
130,27,4,9,1.88,1.18,0,0,4,0,3.31,2.0,0.6,1.0,180.0,False,True,False,False,True,False
131,27,4,9,1.88,1.18,0,0,4,0,3.31,2.0,0.6,2.0,167.0,False,True,False,False,True,False
132,27,4,9,1.88,1.18,0,0,4,0,3.31,2.0,0.6,5.0,143.0,False,True,False,False,True,False
133,27,4,9,1.88,1.18,0,0,4,0,3.31,2.0,0.6,10.0,115.0,False,True,False,False,True,False
134,27,4,9,1.88,1.18,0,0,4,0,3.31,2.0,0.6,20.0,78.0,False,True,False,False,True,False
135,27,4,9,1.88,1.18,0,0,3,0,29.3,2.0,0.65,0.5,654.0,False,True,False,False,True,False
136,27,4,9,1.88,1.18,0,0,3,0,29.3,2.0,0.65,1.0,595.0,False,True,False,False,True,False
137,27,4,9,1.88,1.18,0,0,3,0,29.3,2.0,0.65,5.0,499.0,False,True,False,False,True,False
138,27,4,9,1.88,1.18,0,0,3,0,36.31,6.0,0.4,0.5,996.16,False,True,False,False,True,False
139,27,4,9,1.88,1.18,0,0,3,0,36.31,6.0,0.4,1.0,986.95,False,True,False,False,True,False
140,27,4,9,1.88,1.18,0,0,3,0,36.31,6.0,0.4,2.0,979.9,False,True,False,False,True,False
141,27,4,9,1.88,1.18,0,0,3,0,36.31,6.0,0.4,3.0,972.75,False,True,False,False,True,False
142,27,4,9,1.88,1.18,0,0,3,0,36.31,6.0,0.4,4.0,966.0,False,True,False,False,True,False
143,27,4,9,1.88,1.18,0,0,3,0,36.31,6.0,0.4,5.0,957.5,False,True,False,False,True,False
144,27,4,9,1.88,1.18,0,0,3,0,13.09,6.0,0.4,0.5,354.13,False,True,False,False,True,False
145,27,4,9,1.88,1.18,0,0,3,0,13.09,6.0,0.4,1.0,342.5,False,True,False,False,True,False
146,27,4,9,1.88,1.18,0,0,3,0,13.09,6.0,0.4,2.0,321.7,False,True,False,False,True,False
147,27,4,9,1.88,1.18,0,0,3,0,13.09,6.0,0.4,3.0,307.7,False,True,False,False,True,False
148,27,4,9,1.88,1.18,0,0,3,0,13.09,6.0,0.4,4.0,294.5,False,True,False,False,True,False
149,27,4,9,1.88,1.18,0,0,3,0,13.09,6.0,0.4,5.0,289.5,False,True,False,False,True,False
150,27,4,9,1.88,1.18,0,0,5,0,113.9,2.0,0.5,1.0,936.0,False,True,False,False,True,False
151,27,4,9,1.88,1.18,0,0,5,0,113.9,2.0,0.5,2.0,883.2,False,True,False,False,True,False
152,27,4,9,1.88,1.18,0,0,5,0,113.9,2.0,0.5,5.0,810.0,False,True,False,False,True,False
153,27,4,9,1.88,1.18,0,0,5,0,113.9,2.0,0.5,10.0,746.0,False,True,False,False,True,False
154,27,4,9,1.88,1.18,0,0,5,0,113.9,2.0,0.5,20.0,686.4,False,True,False,False,True,False
155,27,4,9,1.88,1.18,0,0,4,0,67.08,3.0,0.45,1.0,426.6,False,True,False,False,True,False
156,27,4,9,1.88,1.18,0,0,4,0,67.08,3.0,0.45,10.0,404.8,False,True,False,False,True,False
157,27,4,9,1.88,1.18,0,0,4,0,67.08,3.0,0.45,20.0,382.7,False,True,False,False,True,False
158,28,4,10,1.91,1.17,0,0,4,0,201.38,3.0,0.45,1.0,951.6,False,True,False,False,True,False
159,28,4,10,1.91,1.17,0,0,4,0,201.38,3.0,0.45,2.0,809.0,False,True,False,False,True,False
160,28,4,10,1.91,1.17,0,0,4,0,201.38,3.0,0.45,3.0,743.0,False,True,False,False,True,False
161,28,4,10,1.91,1.17,0,0,4,0,201.38,3.0,0.45,5.0,669.0,False,True,False,False,True,False
162,28,4,10,1.91,1.17,0,0,4,0,201.38,3.0,0.45,10.0,553.0,False,True,False,False,True,False
163,28,4,10,1.91,1.17,0,0,4,0,201.38,3.0,0.45,20.0,442.0,False,True,False,False,True,False
164,42,5,6,2.16,1.46,0,0,2,0,58.2,2.0,0.5,1.0,116.8,False,True,False,False,True,False
165,42,5,6,2.16,1.46,0,0,2,0,58.2,2.0,0.5,2.0,102.0,False,True,False,False,True,False
166,42,5,6,2.16,1.46,0,0,2,0,58.2,2.0,0.5,5.0,72.0,False,True,False,False,True,False
167,42,5,6,2.16,1.46,0,0,2,0,58.2,2.0,0.5,10.0,44.0,False,True,False,False,True,False
168,27,4,9,1.88,1.18,0,0,3,0,51.2,2.0,0.5,1.0,464.4,False,True,False,False,True,False
169,27,4,9,1.88,1.18,0,0,3,0,51.2,2.0,0.5,2.0,437.0,False,True,False,False,True,False
170,27,4,9,1.88,1.18,0,0,3,0,51.2,2.0,0.5,5.0,367.0,False,True,False,False,True,False
171,27,4,9,1.88,1.18,0,0,3,0,51.2,2.0,0.5,10.0,297.0,False,True,False,False,True,False
172,27,4,9,1.88,1.18,3,3,3,4,253.8,6.0,0.5,1.0,653.8,False,True,False,False,True,False
173,27,4,9,1.88,1.18,3,3,3,4,253.8,6.0,0.5,2.0,616.4,False,True,False,False,True,False
174,27,4,9,1.88,1.18,3,3,3,4,253.8,6.0,0.5,5.0,571.0,False,True,False,False,True,False
175,27,4,9,1.88,1.18,3,3,3,4,253.8,6.0,0.5,7.0,560.2,False,True,False,False,True,False
176,27,4,9,1.88,1.18,3,3,3,4,253.8,6.0,0.5,10.0,544.2,False,True,False,False,True,False
177,27,4,9,1.88,1.18,3,3,4,1,60.27,6.0,0.45,1.0,574.0,False,True,False,False,True,False
178,27,4,9,1.88,1.18,3,3,4,1,60.27,6.0,0.45,2.0,444.0,False,True,False,False,True,False
179,27,4,9,1.88,1.18,3,3,4,1,60.27,6.0,0.45,3.0,358.0,False,True,False,False,True,False
180,27,4,9,1.88,1.18,3,3,4,1,60.27,6.0,0.45,5.0,278.0,False,True,False,False,True,False
181,27,4,9,1.88,1.18,3,3,4,1,60.27,6.0,0.45,10.0,188.0,False,True,False,False,True,False
182,27,4,9,1.88,1.18,3,3,4,1,60.27,6.0,0.45,15.0,156.0,False,True,False,False,True,False
183,27,4,9,1.88,1.18,3,3,4,1,60.27,6.0,0.45,20.0,133.0,False,True,False,False,True,False
184,27,4,9,1.88,1.18,1,3,1,1,15.735,2.0,0.5,2.0,535.0,False,True,False,False,True,False
185,27,4,9,1.88,1.18,1,3,1,1,15.735,2.0,0.5,3.0,496.0,False,True,False,False,True,False
186,27,4,9,1.88,1.18,1,3,1,1,15.735,2.0,0.5,5.0,462.0,False,True,False,False,True,False
187,27,4,9,1.88,1.18,1,3,1,1,15.735,2.0,0.5,10.0,324.0,False,True,False,False,True,False
188,27,4,9,1.88,1.18,1,1,4,4,109.3,6.0,0.5,1.0,589.0,False,True,False,False,True,False
189,27,4,9,1.88,1.18,1,1,4,4,109.3,6.0,0.5,3.0,552.0,False,True,False,False,True,False
190,27,4,9,1.88,1.18,1,1,4,4,109.3,6.0,0.5,5.0,530.0,False,True,False,False,True,False
191,27,4,9,1.88,1.18,1,1,4,4,109.3,6.0,0.5,7.0,507.0,False,True,False,False,True,False
192,27,4,9,1.88,1.18,1,1,4,4,109.3,6.0,0.5,10.0,479.0,False,True,False,False,True,False
